producto,categoria,stock,precio
Tablet,Accesorios,427.0,
Laptop,Electrónica,291.0,8599.3
Laptop,Electrónica,258.0,4849.86
Tablet,Electrónica,57.0,4429.76
Laptop,Accesorios,462.0,1736.66
Monitor,,355.0,13379.75
Laptop,Electrónica,373.0,1099.85
Teclado,Accesorios,154.0,7075.77
,Accesorios,,11621.82
Mouse,Electrónica,,9404.31
,Accesorios,,14566.37
Tablet,Accesorios,,3797.58
Laptop,Electrónica,476.0,1674.25
Tablet,Accesorios,423.0,12887.42
Monitor,Accesorios,119.0,1773.92
Tablet,Electrónica,367.0,14515.51
Laptop,Electrónica,217.0,19484.69
Laptop,Electrónica,110.0,10546.73
Tablet,,231.0,10664.56
Monitor,Accesorios,390.0,6122.29
,,65.0,10891.56
Laptop,Accesorios,382.0,10593.66
Teclado,Electrónica,,14666.31
Teclado,Electrónica,149.0,17496.25
Monitor,Accesorios,461.0,11159.44
Laptop,Electrónica,361.0,6269.56
Mouse,Electrónica,204.0,5208.62
Tablet,,269.0,
Tablet,Electrónica,408.0,16764.65
Tablet,Electrónica,177.0,559.05
Mouse,Electrónica,,
Tablet,Accesorios,300.0,9403.91
Teclado,Accesorios,382.0,8173.32
Laptop,Accesorios,318.0,9148.65
Teclado,Electrónica,379.0,6468.39
Mouse,,380.0,17603.9
,Electrónica,162.0,17620.01
Monitor,Accesorios,195.0,
Monitor,Accesorios,309.0,15761.18
Laptop,Electrónica,309.0,1161.61
Tablet,Accesorios,455.0,7044.45
Mouse,Electrónica,166.0,
Mouse,Electrónica,70.0,2195.96
Laptop,Electrónica,222.0,15887.63
Teclado,Accesorios,400.0,19655.18
Laptop,Accesorios,,19089.35
Teclado,Electrónica,489.0,17459.41
Tablet,Electrónica,36.0,1599.0
Monitor,Electrónica,,12392.13
Tablet,Accesorios,282.0,18218.8
Laptop,Accesorios,105.0,7570.03
Teclado,Accesorios,,2932.47
Teclado,Accesorios,181.0,16294.76
Laptop,Electrónica,39.0,16353.1
Monitor,Electrónica,57.0,12666.9
Mouse,Electrónica,474.0,2446.57
Teclado,Electrónica,,9090.93
,Accesorios,70.0,12254.09
,Accesorios,121.0,9858.98
Mouse,Accesorios,356.0,
Laptop,Accesorios,25.0,7136.18
Tablet,Electrónica,21.0,11052.22
Teclado,Electrónica,442.0,2785.98
,Electrónica,106.0,14252.19
Mouse,Accesorios,263.0,13338.89
Laptop,Electrónica,2.0,1268.67
Teclado,Electrónica,266.0,7491.65
Monitor,Accesorios,97.0,13838.98
Mouse,Electrónica,258.0,11404.76
Laptop,Accesorios,94.0,5420.93
Laptop,Electrónica,491.0,18166.9
Tablet,Accesorios,440.0,1854.5
Laptop,,312.0,2100.08
Teclado,Accesorios,30.0,9922.41
Laptop,Accesorios,387.0,16099.26
Laptop,Accesorios,120.0,
Monitor,Accesorios,307.0,11090.89
Mouse,Electrónica,171.0,4768.05
Teclado,Accesorios,,9317.45
Mouse,Accesorios,95.0,654.52
Laptop,Electrónica,,1434.51
Laptop,Accesorios,224.0,13663.62
Mouse,Electrónica,373.0,3661.17
Mouse,Accesorios,236.0,15271.38
Mouse,Electrónica,147.0,3717.71
Mouse,Electrónica,187.0,19602.49
Monitor,Accesorios,,4899.36
Monitor,Electrónica,452.0,19012.42
Mouse,Electrónica,181.0,2341.56
Monitor,Electrónica,56.0,14467.59
Mouse,,,1918.62
Teclado,Accesorios,149.0,15528.12
,Accesorios,262.0,6767.24
Laptop,Accesorios,76.0,5685.9
Monitor,Accesorios,107.0,9018.64
Laptop,Accesorios,226.0,19757.68
Mouse,Electrónica,358.0,13374.75
Teclado,Electrónica,76.0,9684.7
Teclado,Electrónica,200.0,15554.43
Monitor,Accesorios,169.0,19315.2
Laptop,Accesorios,151.0,
Teclado,Electrónica,429.0,13083.8
Laptop,Electrónica,493.0,15838.72
Tablet,Accesorios,240.0,5107.45
Monitor,Electrónica,2.0,10616.13
Mouse,Electrónica,116.0,16750.25
Tablet,Electrónica,,1212.6
Mouse,Accesorios,399.0,19747.91
Teclado,Accesorios,70.0,375.5
Laptop,Accesorios,331.0,17201.04
Laptop,Accesorios,202.0,2816.15
Tablet,Accesorios,373.0,11885.28
Monitor,Electrónica,236.0,534.34
,,,10717.91
Teclado,Accesorios,,11535.45
,Electrónica,478.0,
Tablet,,33.0,6118.25
Mouse,Accesorios,179.0,13847.41
Laptop,Accesorios,211.0,18684.94
Laptop,Accesorios,48.0,12264.3
Mouse,Electrónica,348.0,11610.32
Mouse,Accesorios,439.0,7497.27
Laptop,,408.0,4822.01
Monitor,Accesorios,53.0,13969.41
Mouse,Electrónica,47.0,
Teclado,Electrónica,422.0,13820.44
Mouse,Electrónica,50.0,6108.43
Monitor,Accesorios,,7589.9
Mouse,Accesorios,224.0,10944.17
Tablet,Electrónica,218.0,4384.05
,Accesorios,325.0,13960.74
Monitor,Electrónica,454.0,
Laptop,Electrónica,90.0,19414.44
Mouse,Accesorios,184.0,1125.26
Mouse,Electrónica,141.0,7463.41
Laptop,Accesorios,151.0,7391.22
,Accesorios,243.0,14842.08
,Electrónica,439.0,12136.84
Mouse,Electrónica,423.0,14901.18
Laptop,,,12246.82
Tablet,Accesorios,135.0,2618.29
,Electrónica,,672.49
Laptop,Electrónica,470.0,13961.99
Monitor,Accesorios,495.0,5750.49
Monitor,Electrónica,49.0,11515.47
Mouse,Electrónica,449.0,1664.62
Laptop,Accesorios,418.0,17870.72
Tablet,,428.0,8059.22
Teclado,Accesorios,63.0,8755.92
Laptop,Accesorios,38.0,16260.81
Tablet,Accesorios,167.0,8744.93
,Accesorios,341.0,19915.89
Laptop,Electrónica,60.0,11932.27
Tablet,Accesorios,384.0,14526.4
Monitor,Accesorios,281.0,5054.89
Laptop,Accesorios,492.0,6035.1
Teclado,Accesorios,111.0,9803.71
Teclado,Accesorios,403.0,11852.08
Mouse,Accesorios,362.0,7099.67
,Accesorios,188.0,8870.38
Mouse,Accesorios,475.0,11943.59
Monitor,Electrónica,168.0,6200.64
Laptop,Accesorios,293.0,12715.03
Laptop,Electrónica,78.0,6023.17
Tablet,Accesorios,,4183.88
Mouse,Accesorios,171.0,16668.21
Teclado,Accesorios,129.0,17782.55
Monitor,,210.0,11780.7
Laptop,,23.0,5048.63
Monitor,Electrónica,445.0,18918.28
Monitor,Electrónica,24.0,
Tablet,Accesorios,478.0,
Mouse,Accesorios,243.0,5874.23
Mouse,,333.0,10567.04
Laptop,Electrónica,346.0,2000.19
Tablet,Accesorios,284.0,18297.26
Teclado,Electrónica,353.0,5982.74
,Electrónica,353.0,2989.83
Teclado,Accesorios,223.0,3894.14
Monitor,,436.0,13819.49
Teclado,Accesorios,413.0,7324.36
Teclado,Accesorios,42.0,17672.33
Monitor,Accesorios,290.0,17510.48
,Electrónica,336.0,6417.43
Tablet,Accesorios,450.0,17197.3
,Accesorios,190.0,13830.57
Mouse,Accesorios,345.0,7646.16
Laptop,Electrónica,186.0,18855.81
Laptop,Electrónica,74.0,9167.91
Teclado,Electrónica,404.0,4919.19
Tablet,Accesorios,,4026.13
Laptop,Electrónica,481.0,16877.54
Mouse,Accesorios,325.0,1976.34
Tablet,Electrónica,308.0,16335.76
Laptop,Electrónica,120.0,
Tablet,Accesorios,114.0,18315.41
,Electrónica,26.0,8625.6
Teclado,Accesorios,198.0,9536.32
Laptop,Electrónica,4.0,14287.97
Tablet,Accesorios,495.0,11000.54
Laptop,Accesorios,321.0,14538.63
Mouse,,22.0,11120.64
Tablet,Electrónica,202.0,8507.02
Mouse,Accesorios,162.0,18551.14
Teclado,Accesorios,101.0,11301.78
Monitor,Accesorios,416.0,14034.42
Teclado,Accesorios,429.0,9102.07
Tablet,Electrónica,471.0,15119.09
Tablet,Accesorios,473.0,6217.93
Mouse,Electrónica,245.0,14332.33
Laptop,Accesorios,221.0,4193.08
Monitor,,365.0,15219.6
Laptop,Accesorios,133.0,1457.52
Mouse,Electrónica,271.0,126.52
Teclado,Electrónica,319.0,17025.59
Mouse,Electrónica,437.0,4136.44
Teclado,Electrónica,94.0,18860.56
Laptop,Electrónica,,5361.99
Mouse,,,1201.69
Mouse,Electrónica,33.0,17803.58
Mouse,Electrónica,98.0,8074.99
Monitor,Electrónica,,6963.6
Tablet,Accesorios,459.0,12730.68
Teclado,Accesorios,289.0,13810.04
Teclado,Accesorios,390.0,3070.03
,Electrónica,,17032.06
Tablet,Electrónica,201.0,16511.35
,Electrónica,454.0,16356.29
,Accesorios,124.0,19303.39
Monitor,Accesorios,94.0,
Laptop,Electrónica,273.0,16223.69
Teclado,,,
,Accesorios,71.0,14875.73
Mouse,Accesorios,470.0,4092.43
Mouse,Electrónica,246.0,13518.82
,Accesorios,93.0,10901.07
Teclado,Accesorios,491.0,5157.42
Laptop,Accesorios,205.0,14744.89
Monitor,Accesorios,134.0,4542.91
Monitor,Accesorios,351.0,17748.88
Monitor,Electrónica,173.0,
Tablet,Accesorios,54.0,17703.45
Monitor,Electrónica,,4650.79
Tablet,Accesorios,114.0,8032.81
Tablet,Electrónica,286.0,
,Electrónica,244.0,
Laptop,Accesorios,36.0,8920.42
Monitor,Electrónica,467.0,654.93
,Electrónica,309.0,19139.14
Tablet,Accesorios,,9466.27
Monitor,Accesorios,158.0,16811.15
Tablet,Electrónica,156.0,204.08
Tablet,,,2248.19
Monitor,Accesorios,474.0,13995.12
Laptop,Accesorios,294.0,10141.74
,Accesorios,38.0,3478.27
Laptop,Electrónica,449.0,16029.17
Tablet,Electrónica,198.0,
Tablet,Electrónica,,10610.7
Monitor,Accesorios,204.0,3662.88
Tablet,Accesorios,69.0,8589.83
Laptop,Electrónica,166.0,6498.6
Mouse,Accesorios,428.0,6403.42
Laptop,Accesorios,348.0,
Monitor,Electrónica,86.0,4205.26
Teclado,Accesorios,402.0,16867.35
Tablet,Accesorios,220.0,13010.31
Mouse,Electrónica,296.0,
Tablet,Electrónica,273.0,8535.11
,Electrónica,277.0,10913.43
Monitor,Accesorios,351.0,7770.3
Tablet,Electrónica,250.0,6970.98
Mouse,Electrónica,236.0,
Monitor,Accesorios,76.0,15847.2
Teclado,Accesorios,353.0,3409.6
,Accesorios,70.0,19467.09
Mouse,Electrónica,313.0,17628.99
Monitor,Electrónica,360.0,7220.68
Teclado,Electrónica,475.0,8107.29
Laptop,Electrónica,459.0,13443.56
Mouse,Accesorios,273.0,2952.62
Laptop,Accesorios,255.0,7929.6
Monitor,Accesorios,230.0,15814.65
Monitor,Accesorios,337.0,9206.35
Monitor,Accesorios,101.0,10546.24
Monitor,Electrónica,,1585.31
Tablet,Accesorios,,14937.47
Monitor,Electrónica,272.0,19068.73
Teclado,Accesorios,494.0,8686.21
Tablet,Electrónica,431.0,10808.42
Teclado,,438.0,9400.58
Monitor,Electrónica,,7628.95
Teclado,Electrónica,332.0,12184.76
Monitor,Electrónica,399.0,8016.74
Laptop,Electrónica,124.0,16686.1
Tablet,,43.0,10412.07
Teclado,Accesorios,117.0,15935.9
Mouse,Accesorios,472.0,5663.78
Monitor,Accesorios,349.0,5601.82
Mouse,Accesorios,72.0,357.05
Mouse,,450.0,238.59
Tablet,Electrónica,90.0,17810.07
Monitor,Accesorios,147.0,9074.29
Monitor,Accesorios,399.0,13234.9
Teclado,Accesorios,151.0,
Laptop,Electrónica,,5922.22
Teclado,,303.0,17065.14
Tablet,Accesorios,197.0,6965.06
Tablet,Accesorios,417.0,9320.11
Monitor,Accesorios,447.0,6714.03
Monitor,Accesorios,52.0,19708.68
Tablet,Accesorios,245.0,4060.73
Teclado,Accesorios,196.0,3391.44
Mouse,Electrónica,120.0,
Teclado,,186.0,2267.07
Teclado,Accesorios,,10556.96
,Accesorios,135.0,12022.22
Laptop,Accesorios,134.0,5440.5
Laptop,Electrónica,83.0,14434.09
Tablet,Electrónica,223.0,5320.63
Monitor,Electrónica,399.0,
Monitor,,,13411.38
Tablet,Accesorios,156.0,
Laptop,Accesorios,271.0,17394.86
Teclado,Accesorios,189.0,7681.24
Mouse,Electrónica,182.0,13710.68
,Electrónica,443.0,14923.05
Tablet,Electrónica,294.0,11925.5
Laptop,Electrónica,113.0,18231.99
Laptop,Accesorios,,8208.76
Monitor,Electrónica,,5428.33
Laptop,Accesorios,251.0,11391.99
Monitor,,304.0,4964.15
Monitor,Accesorios,34.0,2039.98
,Accesorios,39.0,2536.31
Mouse,Accesorios,,16071.63
Tablet,Accesorios,298.0,7186.04
Monitor,Electrónica,,18657.03
Laptop,Electrónica,456.0,465.15
Laptop,Accesorios,158.0,9405.89
,,,
Monitor,Accesorios,377.0,6505.95
Laptop,,157.0,15878.74
Laptop,Accesorios,411.0,17989.72
Tablet,Electrónica,423.0,
Laptop,Electrónica,41.0,
,Accesorios,310.0,10167.57
Mouse,Electrónica,424.0,2440.41
Laptop,Electrónica,217.0,582.16
Laptop,Electrónica,113.0,19851.55
Mouse,Electrónica,307.0,6972.98
Tablet,Accesorios,33.0,7615.86
Tablet,Electrónica,176.0,
Tablet,,291.0,13485.51
Mouse,Accesorios,475.0,6713.98
Mouse,Electrónica,353.0,3083.96
Teclado,Accesorios,129.0,10399.92
Teclado,Accesorios,441.0,6312.04
Monitor,Accesorios,452.0,18950.48
Mouse,Electrónica,161.0,12353.48
Teclado,Electrónica,475.0,17640.79
Tablet,,318.0,9885.7
Mouse,Accesorios,488.0,5762.81
,Accesorios,464.0,4776.98
Mouse,Accesorios,470.0,9905.39
Teclado,Electrónica,306.0,11765.04
Teclado,Electrónica,211.0,5628.03
Tablet,Accesorios,128.0,15147.79
,Electrónica,313.0,9677.21
,Accesorios,410.0,
Tablet,Electrónica,277.0,
Mouse,Electrónica,189.0,5022.39
Monitor,Accesorios,261.0,7987.45
Monitor,Electrónica,332.0,16940.05
Mouse,Accesorios,31.0,6466.63
,Electrónica,9.0,18836.66
Mouse,Accesorios,323.0,9884.74
Laptop,Accesorios,24.0,15300.3
Monitor,Accesorios,473.0,
Laptop,Accesorios,,5534.12
Tablet,Accesorios,197.0,3102.94
Mouse,Accesorios,313.0,1475.47
Teclado,Accesorios,,
Mouse,Electrónica,150.0,19358.94
Mouse,Electrónica,397.0,13982.77
Teclado,Accesorios,,5557.15
Teclado,Electrónica,86.0,14441.3
Monitor,Accesorios,288.0,12450.02
Mouse,Electrónica,122.0,11905.74
Laptop,Electrónica,218.0,1835.85
Tablet,Electrónica,253.0,3918.6
Laptop,,212.0,17571.29
Tablet,Accesorios,434.0,
Laptop,Electrónica,254.0,
Tablet,Accesorios,368.0,1859.19
Mouse,Electrónica,,19690.2
Mouse,Electrónica,102.0,
Monitor,Accesorios,351.0,
,Accesorios,191.0,13151.31
Teclado,,435.0,9311.36
Mouse,Accesorios,415.0,9442.82
Tablet,,159.0,14096.63
Laptop,Electrónica,407.0,2423.49
Tablet,Electrónica,448.0,5074.66
Laptop,Accesorios,416.0,7120.67
Laptop,Electrónica,492.0,3090.2
Laptop,Electrónica,371.0,7661.69
Monitor,,68.0,11483.67
,Electrónica,489.0,7819.42
Laptop,Accesorios,372.0,
Tablet,Accesorios,409.0,7231.54
Mouse,Accesorios,31.0,17268.79
Mouse,Electrónica,286.0,17992.82
Mouse,Electrónica,330.0,10081.55
Monitor,,296.0,7000.2
Tablet,,,9327.19
Tablet,Electrónica,169.0,1014.48
Mouse,Accesorios,178.0,10839.38
Tablet,Accesorios,88.0,16144.96
Tablet,Accesorios,187.0,13519.81
Laptop,Accesorios,389.0,
Tablet,,277.0,17264.32
Teclado,Electrónica,276.0,4695.25
Tablet,Accesorios,277.0,9378.3
Tablet,Accesorios,284.0,6411.34
Monitor,Electrónica,472.0,5147.06
Teclado,,32.0,3925.17
,Electrónica,,3672.26
Mouse,,33.0,15017.74
Laptop,Accesorios,,6812.94
Mouse,Accesorios,5.0,15934.67
Laptop,,18.0,11085.45
Monitor,Accesorios,296.0,12225.27
Tablet,Electrónica,471.0,10886.62
Tablet,Accesorios,,18821.7
Monitor,Electrónica,279.0,
Laptop,Accesorios,75.0,19322.16
,Electrónica,289.0,2780.32
Tablet,Electrónica,177.0,129.81
Monitor,Electrónica,317.0,6613.07
Teclado,Accesorios,119.0,16080.91
Monitor,Electrónica,128.0,17061.16
Monitor,Electrónica,448.0,12319.44
Mouse,Accesorios,314.0,5104.55
Mouse,,150.0,5335.8
Mouse,Accesorios,13.0,7441.08
,Accesorios,27.0,11860.94
Laptop,Electrónica,145.0,1551.81
,Accesorios,278.0,12849.57
Tablet,Electrónica,374.0,16707.05
Teclado,,158.0,3989.72
Laptop,Accesorios,416.0,16251.05
Laptop,,302.0,9388.21
Tablet,Electrónica,,253.94
Monitor,Accesorios,289.0,3931.21
Monitor,,431.0,11158.46
Laptop,Electrónica,232.0,11340.64
Laptop,Electrónica,305.0,5725.27
Laptop,Accesorios,,14054.85
Laptop,Electrónica,196.0,4765.09
Tablet,Electrónica,289.0,18714.81
Tablet,Electrónica,343.0,12626.9
Laptop,,380.0,16227.98
Mouse,Electrónica,270.0,19037.96
Teclado,Electrónica,6.0,19716.98
Monitor,Electrónica,350.0,16392.87
Teclado,Electrónica,406.0,12111.68
Teclado,Electrónica,214.0,
Monitor,Accesorios,160.0,14000.33
Teclado,Electrónica,264.0,453.63
Teclado,Accesorios,444.0,7738.41
,Accesorios,356.0,
Laptop,Accesorios,310.0,14090.11
Laptop,Electrónica,261.0,3337.49
Teclado,Accesorios,427.0,14018.94
Monitor,Electrónica,203.0,10439.56
Tablet,Accesorios,429.0,18172.48
Mouse,Electrónica,32.0,10998.04
Mouse,Accesorios,226.0,14917.4
Teclado,Electrónica,,5308.59
Mouse,Accesorios,164.0,
Mouse,Accesorios,235.0,6784.73
Mouse,Electrónica,107.0,3927.58
Laptop,Accesorios,214.0,16359.34
,Accesorios,468.0,13210.86
,Accesorios,397.0,14695.52
Laptop,Accesorios,226.0,685.68
Monitor,Accesorios,151.0,
Mouse,Accesorios,412.0,9639.47
Teclado,Accesorios,489.0,15484.4
Monitor,Accesorios,360.0,10014.11
Mouse,Electrónica,63.0,10266.92
Teclado,Electrónica,449.0,
Tablet,Accesorios,460.0,13342.12
Teclado,Electrónica,368.0,
Mouse,,32.0,13634.51
Tablet,,81.0,4228.58
Teclado,Electrónica,370.0,11176.66
Monitor,Electrónica,362.0,1437.67
Laptop,Electrónica,156.0,12703.02
Mouse,Accesorios,223.0,3606.27
Monitor,Electrónica,99.0,6202.52
Mouse,,314.0,
Laptop,Electrónica,56.0,
Monitor,,139.0,4343.21
Mouse,Accesorios,125.0,
,Electrónica,336.0,4067.33
Monitor,,,1405.9
Mouse,Electrónica,447.0,9526.86
Laptop,Electrónica,287.0,19421.1
Laptop,Accesorios,155.0,13006.64
Laptop,Electrónica,243.0,2259.72
Mouse,,255.0,18218.88
,Accesorios,399.0,4285.45
Monitor,Electrónica,378.0,12083.17
Mouse,Electrónica,299.0,3052.68
Mouse,Electrónica,46.0,8482.9
Mouse,,424.0,9757.41
Monitor,Accesorios,322.0,9220.41
Monitor,Accesorios,193.0,
Tablet,,495.0,15053.09
Laptop,Accesorios,238.0,7628.49
Laptop,Electrónica,476.0,6838.1
Mouse,Accesorios,424.0,12035.27
Laptop,,,13786.61
Mouse,,139.0,11569.47
Laptop,,378.0,8161.99
Tablet,Accesorios,265.0,7229.41
Tablet,Electrónica,107.0,2655.45
Laptop,Accesorios,487.0,16921.86
Mouse,Accesorios,390.0,1159.49
Mouse,Accesorios,353.0,4644.3
Teclado,Accesorios,63.0,10333.3
Monitor,Accesorios,353.0,
Monitor,Accesorios,286.0,5984.91
Mouse,Electrónica,92.0,10500.47
,Accesorios,,900.94
Mouse,Electrónica,150.0,158.54
Tablet,Accesorios,,10457.04
Mouse,Accesorios,368.0,6744.92
Mouse,Electrónica,130.0,9095.28
Monitor,Electrónica,,10384.25
Monitor,Accesorios,158.0,4414.32
Teclado,Electrónica,400.0,13911.53
Teclado,Electrónica,,4947.35
Tablet,Electrónica,344.0,5528.36
Mouse,Accesorios,99.0,17351.41
Monitor,Electrónica,143.0,
,Accesorios,323.0,16533.77
Teclado,Accesorios,487.0,1315.16
Mouse,,75.0,18331.37
Monitor,Accesorios,348.0,13891.74
Tablet,Accesorios,33.0,13725.48
Laptop,,181.0,7269.13
Monitor,Accesorios,,3401.51
Monitor,,483.0,3976.37
,,292.0,1589.03
Laptop,Electrónica,218.0,4534.52
,Accesorios,494.0,
Mouse,Electrónica,,3729.96
Mouse,Accesorios,45.0,9609.55
Teclado,Accesorios,135.0,489.44
Teclado,Electrónica,,15691.64
Teclado,Electrónica,489.0,4352.14
Tablet,Accesorios,,6638.32
Laptop,Accesorios,492.0,12751.46
,Accesorios,467.0,1605.04
Tablet,Accesorios,292.0,9746.32
Laptop,Electrónica,74.0,4212.75
Mouse,Accesorios,,
,Electrónica,254.0,18750.26
Mouse,Electrónica,,
Monitor,Accesorios,296.0,
,Accesorios,,12738.62
Mouse,Accesorios,383.0,15618.18
Laptop,Electrónica,,11603.76
Laptop,Accesorios,81.0,9724.15
Tablet,Accesorios,117.0,18507.21
,Accesorios,178.0,17158.34
Mouse,Electrónica,100.0,17862.55
Mouse,,303.0,6321.05
Monitor,Accesorios,306.0,16394.76
Laptop,Accesorios,436.0,6156.02
Mouse,Electrónica,499.0,9354.13
Teclado,Electrónica,,17437.23
Laptop,Accesorios,107.0,16279.04
Laptop,,,16838.55
Teclado,Electrónica,456.0,7145.52
Mouse,Accesorios,75.0,17482.96
Monitor,Accesorios,466.0,15739.69
Laptop,Accesorios,389.0,4546.26
Mouse,Electrónica,11.0,14931.98
Mouse,Electrónica,166.0,11789.94
Teclado,Electrónica,114.0,12778.44
Tablet,Electrónica,91.0,6054.79
Teclado,Accesorios,230.0,1363.73
Mouse,Accesorios,266.0,6637.34
Mouse,,,8264.45
,Accesorios,368.0,6140.64
Laptop,Accesorios,240.0,13682.48
Mouse,Accesorios,440.0,8354.02
,Electrónica,152.0,19913.69
Monitor,Electrónica,88.0,15578.68
Tablet,Accesorios,47.0,17762.56
Monitor,Accesorios,355.0,17398.44
Mouse,Electrónica,360.0,14379.57
,Electrónica,146.0,13057.33
Monitor,Accesorios,288.0,19287.2
Mouse,Electrónica,226.0,16840.53
Laptop,Accesorios,188.0,8476.77
Mouse,Accesorios,60.0,15990.29
Monitor,Accesorios,402.0,19650.19
Teclado,Accesorios,304.0,11983.51
Mouse,Accesorios,112.0,3929.35
Monitor,,202.0,8875.31
Monitor,Accesorios,,13861.19
Mouse,Accesorios,198.0,15178.75
Laptop,,202.0,
Mouse,Accesorios,21.0,15231.71
Mouse,Accesorios,171.0,1971.23
Mouse,,67.0,16136.39
Monitor,Accesorios,474.0,
Mouse,Accesorios,,11116.16
Tablet,Electrónica,98.0,7651.46
Laptop,Electrónica,146.0,16798.75
,Accesorios,430.0,9018.57
Monitor,Accesorios,442.0,2235.04
Laptop,Accesorios,253.0,18501.93
Laptop,Electrónica,479.0,5539.54
Laptop,Electrónica,,19548.26
Mouse,Electrónica,194.0,8106.5
Laptop,Accesorios,19.0,7732.46
Monitor,Electrónica,249.0,18032.3
Teclado,Accesorios,451.0,11992.93
Tablet,Electrónica,141.0,14591.74
Laptop,Accesorios,222.0,
Mouse,Electrónica,167.0,19669.21
Monitor,Accesorios,,13873.81
,Accesorios,238.0,9213.47
Mouse,Accesorios,458.0,467.96
Teclado,Electrónica,38.0,7590.34
Monitor,Accesorios,72.0,18738.82
Tablet,Accesorios,278.0,16519.2
Monitor,Electrónica,306.0,2065.24
,Electrónica,49.0,19081.23
Mouse,Accesorios,233.0,
,Electrónica,,3165.97
,Electrónica,,14622.05
Teclado,Accesorios,447.0,17731.8
Teclado,Electrónica,304.0,995.91
Monitor,Electrónica,206.0,13070.55
Monitor,Accesorios,192.0,12907.93
Tablet,Electrónica,114.0,1459.03
Laptop,Accesorios,169.0,4846.73
Teclado,Accesorios,282.0,7938.35
Tablet,Accesorios,390.0,8871.53
Monitor,Electrónica,155.0,19667.38
,Electrónica,77.0,8410.9
Laptop,Accesorios,94.0,4876.41
Tablet,Electrónica,257.0,
Tablet,Accesorios,,8585.56
Tablet,,60.0,17437.62
Tablet,Accesorios,155.0,17894.49
Monitor,Electrónica,348.0,5657.34
Laptop,Electrónica,231.0,
Mouse,Accesorios,207.0,10210.09
,Electrónica,227.0,4543.36
Teclado,Electrónica,458.0,5735.61
Laptop,Electrónica,314.0,16477.8
Laptop,,225.0,
Monitor,Electrónica,,1241.42
Tablet,Accesorios,261.0,1422.61
Tablet,Accesorios,314.0,17131.19
Tablet,,393.0,10067.93
,Electrónica,204.0,3600.53
Mouse,Electrónica,410.0,7770.29
Mouse,Accesorios,119.0,13698.69
Teclado,Electrónica,89.0,5574.01
Laptop,Accesorios,497.0,8122.04
,Accesorios,414.0,15944.2
Tablet,Accesorios,127.0,3647.35
Teclado,Accesorios,23.0,16107.05
Mouse,Accesorios,181.0,616.59
Tablet,Accesorios,91.0,13089.04
,Electrónica,84.0,12979.63
Teclado,Accesorios,464.0,13429.35
Teclado,Accesorios,49.0,4562.04
Tablet,Electrónica,248.0,2582.32
,Accesorios,412.0,19560.03
